时间,博主,内容,点赞,转发,评论,分词
"
                        2022年06月27日 11:16
                        ",我喝咖啡我最瘦,"
 最近喝的奶茶～哦耶 钟薛高怎么刚吃完就看到不化的新闻～芭比 ​ ",赞, , 评论,奶茶 钟薛高 不化 新闻 芭比
"
                        2022年06月27日 11:12
                        ",我是韭菜-割我-,"
 咱也不知道这盲棍的重复率高不高 ​ ",1, , 2,盲棍 重复
"
                        2022年06月27日 10:30
                        ",宿州吾悦广场,"
 🔥39°高温预警来袭 🌈来口 一秒就沦陷 🍧①②⑧元购10支包邮到家📦 #宿州吾悦&钟薛高夏日淇遇记 ​ ",赞, , 2,高温 预警 一秒 沦陷 支包 邮到 宿州 钟薛高 夏日
"
                        2022年06月27日 09:47
                        ",白日梦打工人,"
 钟薛高从不让人失望 ​ ",赞, , 评论,钟薛高 不让 失望
"
                        2022年06月27日 09:44
                        ",安可啵,"
 这两天见到最有钱的人，就是下楼倒垃圾的邻居，装垃圾的是一个超大纸箱子，标签是【钟薛高】！ ​ ",赞, , 1,两天 见到 有钱 下楼 垃圾 邻居 垃圾 超大 箱子 标签 钟薛高
"
                        2022年06月27日 09:16
                        ",平淡无奇5521,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 不论面对多么迂回的故事，学会提示本人，来和去都是一场进程，不必要刻意去苛求和强求，活出内心的弹丸之地 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 面对 迂回 故事 学会 提示 一场 进程 不必要 刻意 苛求 强求 内心 弹丸之地
"
                        2022年06月27日 07:37
                        ",冯佳佳2nd,"
 国家能不能调控一下雪糕的价格啊，自从有了个疯癫的钟薛高整个行业售价直接起飞了，别的都是往内卷它是往外卷，离谱。就那么一小块儿奶油/冰沙，敢标那么高的价格，真就以为消费者估摸不来它到底值多少钱吗。钟薛高不愧是做广告营销出身的野路子， ​ ",3, , 评论,国家 调控 雪糕 价格 疯癫 钟薛高 行业 售价 起飞 内卷 外卷 离谱 一小 块儿 奶油 冰沙 敢标 价格 真就 消费者 估摸 不来 多少钱 钟薛高 不愧 做广告 营销 出身 路子
"
                        2022年06月27日 07:25
                        ",徳英噫鬱,"
 推荐几个冰淇淋，个别便利店绝对有点的，别拿了讲面子，放回去就行了。 钟薛高的杏余年，160一个虽然不知道什么味，除了盒子好看，千万别拿错了，拿错了别讲面子什么的，放回冰柜就好160够3人吃一顿三合鱼了。 ​钟薛高的厄瓜多尔粉钻6一个，好不好吃不知道，吃了绝对是心碎的味道。6我吃三顿 ​ ",赞, , 评论,推荐 几个 冰淇淋 便利店 讲面子 回去 就行了 钟薛高 余年 盒子 好看 千万别 拿错 拿错 讲面子 放回 冰柜 一顿 三合 钟薛高 厄瓜多尔 好不好 心碎 味道 三顿
"
                        2022年06月27日 06:54
                        ",安小珀222,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 也许。正是因为有了你，世界才增添了一份色彩，你要勇敢地时自己说：“我很重要，我就是一道风景。” ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 也许 世界 增添 一份 色彩 勇敢 地时 一道 风景
"
                        2022年06月27日 06:52
                        ",aasss777,"
 未来很美 顶峰相见 ​ ",赞, , 1,未来 顶峰 相见
"
                        2022年06月27日 06:35
                        ",不想再改名字了二十六个字符,"
 今天看到的全新笑话： 钟薛高？难道不是钟切糕？ ​ ",赞, , 评论,全新 笑话 钟薛高 切糕
"
                        2022年06月27日 06:34
                        ",肖肖肖开心,"
 钟薛高 爱它 ​ ",1, , 1,钟薛高
"
                        2022年06月27日 06:25
                        ",不做不该做的事,"
 钟薛高给我爬开啊，就你这货搅乱了市场 ​ ",赞, , 评论,钟薛高 爬开 搅乱 市场
"
                        2022年06月27日 05:16
                        ",手机用户3036165623,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 一个人需求长大，需求做一个生命的致敬者，去承当生命中的艰苦和苦难，让它成为一种对生命意义的深入看法 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 需求 长大 需求 生命 致敬 承当 生命 艰苦 苦难 一种 生命 意义 看法
"
                        2022年06月27日 01:47
                        ",卡卡孔庆黎,"
 钟薛高是伪消费升级，立顿茶我们千万不要学，中小茶场雨露均沾的模式符合共同富裕，一家独大的垄断赚钱的只有老板。 ​ ",1, , 评论,钟薛高 消费 升级 立顿 茶场 雨露 模式 符合 共同富裕 一家独大 垄断 赚钱 老板
"
                        2022年06月27日 01:43
                        ",叮叮捡漏,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 {随机词句} ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 随机 词句
"
                        2022年06月27日 01:08
                        ",过分可爱了_,"
 玩不起是吧小辣鸡 ​ ",赞, , 1,辣鸡
"
                        2022年06月27日 00:28
                        ",Dejavu4U,"
 明天舍友拍毕业照想着给她订花，物色学校附近的花店的时候发现大多数店六支玫瑰卖9。我觉得不订的话没有仪式感，订了的话智商被侮辱。就像走在沙漠里渴得要死，这时出现了唯一家店卖的是钟薛高 ​ ",1, , 4,明天 舍友 毕业 想着 订花 物色 学校 花店 发现 六支 玫瑰 不订 仪式 智商 侮辱 沙漠 渴得 要死 唯一 家店 钟薛高
"
                        2022年06月27日 00:25
                        ",筱桐哥儿,"
 有颜有料平价雪糕 有一款全绿色外皮的冰糕超级好吃我忘了名字了，还有红豆冰。另外以前的脆皮雪糕也好吃，蒂兰圣雪也不高架吧。今天问朋友钟薛高为啥那么多💰她说是因为用的奶和糖都特别好 ​ ",3, , 2,有颜有料 平价 雪糕 一款 绿色 外皮 冰糕 超级 好吃 名字 红豆冰 脆皮 雪糕 好吃 蒂兰 高架 朋友 钟薛高 为啥 是因为 奶和糖 特别
"
                        2022年06月26日 23:38
                        ",Summersy妍,"
 去年夏天家里冰箱坏了 因为太贵不舍得丢掉的钟薛高 后来逐渐被遗忘在底层 现在打开一看 😭… ​ ",2, , 9,去年 夏天 家里 冰箱 太贵 舍得 丢掉 钟薛高 遗忘 底层 打开
"
                        2022年06月26日 23:24
                        ",用户6370717684,"
 ·万没想到一周能喝两次茶颜悦色 ·下单一周的榴莲 提货了 ·提货之后 意外看鱼 ·钟薛高 体验过了 ·臊子面 看起来好不错 ·爸带儿子卖二手玩具 ·可妹接考生回家 ·出门游泳（这个镜子使我沦陷） ·周末以一锅螺狮粉结束 ​ ",赞, , 评论,没想到 一周 两次 颜悦色 下单 一周 榴莲 提货 提货 意外 看鱼 钟薛高 体验 臊子 不错 爸带 儿子 二手 玩具 可妹 考生 回家 出门 游泳 镜子 沦陷 周末 狮粉 结束
"
                        2022年06月26日 23:22
                        ",陷入伯贤·,"
 钟薛高 报吃 齁甜 ​ ",1, , 评论,钟薛高
"
                        2022年06月26日 23:06
                        ",料青山见我应如是·,"
 钟薛高 阿波罗 算你们厉害 ​ ",赞, , 7,钟薛高 阿波罗 厉害
"
                        2022年06月26日 23:00
                        ",-颜小米-,"
 钟薛高 玫荔萄冰系列棒冰 荔枝萄冰 78*4 棒冰雪糕冰淇淋冷饮 ¥52 ​ ",赞, , 评论,钟薛高 玫荔萄 系列 棒冰 荔枝 棒冰 雪糕 冰淇淋 冷饮
"
                        2022年06月28日 22:57
                        ",三块起司,"
 🍦雪糕刺客🥷被抓了 实现钟薛高自由是什么体验？ 一个字—绝！ （只可惜没有买到半巧😭） ​ ",1, , 评论,雪糕 刺客 钟薛高 自由 体验 可惜 买到 半巧
"
                        2022年06月28日 22:53
                        ",切莫尼尼,"
 你好，这里有一个想要山矾冰箱贴的小朋友，她有辣么多钟薛高的冰棒棍，却与兑换时间擦肩而过 ，不知道你能不能满足她的小心愿 ​ ",赞, , 1,你好 想要 山矾 冰箱 小朋友 有辣么 钟薛高 冰棒 兑换 时间 擦肩而过 心愿
"
                        2022年06月28日 22:41
                        ",为睡觉而生的高贵的人,"
 女人经济独立就是好 ​ ",5, , 1,女人 经济 独立
"
                        2022年06月28日 22:33
                        ",爱像一阵风吹,"
 7:20-9:30在健身房 又是动感单车、又是韩舞 最后还游泳🏊‍♀️50分钟 是不是可以奖励一个“钟薛高”啊 ​ ",赞, , 评论,健身房 动感单车 游泳 分钟 奖励 钟薛高
"
                        2022年06月28日 22:27
                        ",小杨是有小羊的,"
 钟薛高没有灵魂 没办法咬雪糕棍 ​ ",赞, , 评论,钟薛高 灵魂 办法 雪糕
"
                        2022年06月28日 22:22
                        ",武汉经视,"
 直接给你们上干货“梦龙、钟薛高、八喜、哈根达斯” 一个来 吃完了回来说一声，是不是真的一样 ​ ",赞, , 评论,干货 梦龙 钟薛高 八喜 哈根达斯 回来 一声 真的
"
                        2022年06月28日 22:19
                        ",武汉经视,"
 “梦龙、钟薛高、八喜、哈根达斯”吃不起？这些冰淇淋平替让你随便炫！ ",赞, , 评论,梦龙 钟薛高 八喜 哈根达斯 吃不起 冰淇淋 平替 随便
"
                        2022年06月28日 22:06
                        ",跑跑金丝熊,"
 冰箱贴收到啦～肚里有货～ 看起来很好吃的样子～ ​ ",1, , 1,冰箱 收到 肚里 好吃 样子
"
                        2022年06月28日 22:05
                        ",百应网络科技,"
 【爆-】钟薛高·少年飒爽5雪糕 = 13 夏日或者秋凉。即使绿色的田园依然是绿的，白色的棉田在金秋里银装素裹，阳光总会触碰古城内心秋熟的感觉。 ​ ",赞, , 评论,钟薛高 少年 飒爽 雪糕 夏日 秋凉 绿色 田园 依然 白色 棉田 金秋 银装素裹 阳光 总会 古城 内心 秋熟 感觉
"
                        2022年06月28日 21:53
                        ",Q小不溜Q,"
 钟薛高到底多少钱啊，感觉很好吃，想吃。 ​ ",赞, , 2,钟薛高 多少钱 感觉 好吃
"
                        2022年06月28日 21:49
                        ",不会作法的大状,"
 钟薛高，你明可以去抢但你还是送了我一根雪糕，难吃就算了还贵 ​ ",1, , 评论,钟薛高 一根 雪糕 难吃
"
                        2022年06月28日 21:48
                        ",平淡无奇5521,"
 伊利 甄稀 冰激凌雪糕 20杯 105 蒙牛 蒂兰圣雪 冰淇淋 16杯 8 钟薛高 雪糕冰淇淋 18 人生就像一杯茶。 一辈子都不会苦，但总会苦一阵子。 如果一开始没有苦，以后就没有甜了。 苦、甜就像一首交响乐，融入我们的生活 ​ ",赞, , 3,伊利 甄稀 冰激凌 雪糕 蒙牛 蒂兰 冰淇淋 钟薛高 雪糕 冰淇淋 人生 一杯 一辈子 总会 一阵子 一首 交响乐 融入 生活
"
                        2022年06月28日 21:43
                        ",花间懿斛酒,"
 直接给你们上干活“梦龙、钟薛高、八喜、哈根达斯” 一个来 吃完了回来说一声，是不是真的一样 ​ ",89, , 5,干活 梦龙 钟薛高 八喜 哈根达斯 回来 一声 真的
"
                        2022年06月28日 21:43
                        ",曹曹曹曹曹YJ,"
 接下来又将是禁声的一周，晚上吃完饭体重94斤，以前梦想的体重现在竟觉得是那么的恐怖，外婆说饭再清淡也要吃，你看你现在瘦的像🐒一样，我一时也不知道怎么接下去…自三月份到现在，医院跑的我想吐🤮，就连医生都不直呼我的大名了，直接喊我小名，就像我们认识了很久 ，希望这次能够彻底 ​ ",1, , 10,禁声 一周 晚上 吃完饭 体重 梦想 体重 恐怖 外婆 清淡 接下去 三月份 医院 医生 直呼 大名 小名 很久 希望
"
                        2022年06月28日 21:39
                        ",秦月汉关1900,"
 / : 回复 :是这个叫钟薛高的，建议大家避雷，或者干脆什么雪糕都不要买了/ :好家伙，这是什么牌子的冰柜刺客/ :真的，昨天买了一袋花了一百多，一根38，扫完码人都傻了… ",赞, , 评论,回复 钟薛高 建议 避雷 干脆 雪糕 好家伙 牌子 冰柜 刺客 真的 昨天 一袋 一百多 一根 扫完 码人
"
                        2022年06月28日 21:33
                        ",正常人干不出这些事,"
 “梦龙、钟薛高、八喜、哈根达斯”吃不起？这些冰淇淋平替让你半价随便炫！ ​ ",1018, , 109,梦龙 钟薛高 八喜 哈根达斯 吃不起 冰淇淋 平替 半价 随便
"
                        2022年06月28日 21:25
                        ",罹百忧,"
 再者我问驿站老板，多少钱的雪糕最好卖，他说是七八块的。就我们这二线城市边缘城区普通小区而已。/ : 可是钟薛高已经在菜鸟驿站铺货了，三个口味混装，10支8元。我买了一份/ : 回复 :是这个叫钟薛高的，建议大家避雷，或者干脆什么雪糕都不要买了 ",赞, , 评论,驿站 老板 多少钱 雪糕 七八块 二线 城市边缘 城区 小区 钟薛高 菜鸟 驿站 铺货 三个 口味 混装 一份 回复 钟薛高 建议 避雷 干脆 雪糕
